,ID,Team,Kills,Win,Hero
627,4294967295,1,13,0,44
628,4294967295,1,1,0,99
629,4294967295,1,20,0,32
630,4294967295,0,0,1,53
631,209511622,0,0,1,1
632,889417720,0,6,1,35
633,4294967295,0,4,1,68
634,4294967295,0,0,1,109
635,4294967295,1,11,0,23
636,4294967295,1,1,0,27
637,4294967295,1,1,0,50
638,4294967295,1,11,0,41
639,4294967295,1,6,0,48
640,4294967295,0,2,0,53
641,4294967295,0,1,0,44
642,4294967295,0,0,0,8
643,4294967295,0,0,0,54
644,4294967295,0,0,0,85
645,4294967295,1,1,1,40
646,4294967295,1,0,1,86
647,4294967295,1,0,1,42
648,4294967295,1,0,1,68
649,4294967295,1,0,1,6
650,849820717,0,0,1,35
651,4294967295,1,2,0,31
652,4294967295,0,0,1,13
653,4294967295,1,2,0,74
654,4294967295,0,1,0,34
655,4294967295,0,0,0,27
656,4294967295,0,0,0,74
657,4294967295,0,0,0,95
658,4294967295,0,0,0,54
659,4294967295,1,1,1,56
660,4294967295,1,1,1,50
661,4294967295,1,0,1,73
662,4294967295,1,0,1,44
663,4294967295,1,0,1,48
664,115556970,1,0,0,54
665,883708835,1,0,0,35
666,883749460,1,0,0,86
667,883582417,1,0,0,68
668,883860694,1,0,0,40
669,,0,0,1,53
670,,0,0,1,100
671,,0,0,1,9
672,,0,0,1,87
673,,0,0,1,80
674,4294967295,0,3,0,2
675,4294967295,0,8,0,85
676,4294967295,0,4,0,17
677,318812968,0,1,0,23
678,122430776,0,8,0,52
679,4294967295,1,3,1,71
680,4294967295,1,2,1,58
681,4294967295,1,1,1,67
682,4294967295,1,2,1,74
683,4294967295,1,3,1,11
684,4294967295,1,0,0,8
685,135003308,1,0,0,86
686,4294967295,1,0,0,85
687,4294967295,1,0,0,53
688,4294967295,1,0,0,40
689,,0,0,1,48
690,,0,0,1,47
691,,0,0,1,121
692,,0,0,1,37
693,,0,0,1,113
694,194143628,1,0,0,6
695,4294967295,1,0,0,68
696,899997352,1,0,0,54
697,894252897,1,0,0,61
698,162668321,1,0,0,95
699,,0,0,1,20
700,,0,0,1,47
701,,0,0,1,43
702,,0,0,1,37
703,,0,0,1,49
704,4294967295,0,0,1,11
705,463462239,1,2,0,121
706,345816548,0,1,1,71
707,162163576,0,0,1,84
708,137652799,0,0,1,108
709,102447412,0,0,1,39
710,142961020,0,1,1,92
711,183491540,1,0,0,44
712,118358305,1,4,0,105
713,348633472,1,0,0,2
714,181563525,1,0,0,73
715,240194077,1,0,0,33
716,899389811,0,0,1,112
717,890997137,0,0,1,53
718,879188187,0,0,1,22
719,4294967295,0,0,1,63
720,878100714,0,0,1,114
721,,1,0,0,2
722,,1,0,0,35
723,,1,0,0,81
724,,1,0,0,8
725,,1,0,0,36
726,4294967295,0,0,1,12
727,127591617,1,2,0,71
728,4294967295,0,0,1,91
729,4294967295,0,0,1,109
730,899988905,0,0,1,61
731,4294967295,0,0,1,38
732,867377873,0,0,1,95
733,,1,0,0,47
734,,1,0,0,2
735,,1,0,0,26
736,,1,0,0,37
737,,1,0,0,31
738,4294967295,0,1,0,14
739,4294967295,0,3,0,4
740,4294967295,0,2,0,35
741,4294967295,0,2,0,42
742,4294967295,0,0,0,86
743,4294967295,1,0,1,73
744,4294967295,1,0,1,44
745,4294967295,1,0,1,34
746,851773970,1,2,1,26
747,4294967295,1,0,1,6
748,4294967295,0,4,0,58
749,4294967295,0,0,0,41
750,4294967295,0,0,0,44
751,4294967295,0,0,0,13
752,4294967295,0,0,0,33
753,4294967295,1,0,1,59
754,4294967295,1,1,1,82
755,4294967295,1,5,1,99
756,4294967295,1,1,1,94
757,4294967295,1,1,1,50
758,4294967295,0,1,1,57
759,102942550,0,0,1,8
760,92566758,0,0,1,7
761,86053259,0,2,1,9
762,4294967295,0,0,1,18
763,218860699,1,4,0,81
764,450273249,1,9,0,14
765,178529579,1,14,0,106
766,856628592,1,1,0,1
767,4294967295,1,3,0,5
768,4294967295,0,0,0,54
769,4294967295,0,0,0,6
770,4294967295,0,0,0,109
771,4294967295,0,0,0,53
772,4294967295,0,0,0,86
773,4294967295,1,0,1,42
774,4294967295,1,0,1,35
775,4294967295,1,0,1,44
776,4294967295,1,0,1,85
777,4294967295,1,0,1,40
778,4294967295,0,1,0,35
779,223760122,1,0,1,46
780,4294967295,0,0,0,35
781,4294967295,0,0,0,12
782,4294967295,0,0,0,26
783,4294967295,0,2,0,7
784,266835708,0,2,0,121
785,4294967295,1,0,1,68
786,269889408,1,1,1,54
787,4294967295,1,0,1,34
788,4294967295,1,3,1,14
789,4294967295,1,0,1,44
790,4294967295,0,1,1,62
791,4294967295,0,0,1,12
792,4294967295,0,0,1,67
793,4294967295,0,0,1,90
794,4294967295,0,1,1,59
795,4294967295,1,0,0,104
796,4294967295,1,0,0,40
797,4294967295,1,1,0,95
798,34491820,1,0,0,57
799,110010510,1,0,0,65
